tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
ZNF513	ZN513_HUMAN	Q8N8E2	ZNF513	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	ZNF513 (Zfp513) [3+5]{2.3.4.0.36}	ZNF513, isoform 1{2.3.4.0.36.1}:ZNF513, isoform 2{2.3.4.0.36.2}:ZNF513, isoform 3 [5]{2.3.4.0.36.3}	C2H2 ZF	zf-C2H2
ZNF519	ZN519_HUMAN	Q8TB69	ZNF519	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	ZNF519 [1+9]{2.3.4.0.68}		C2H2 ZF	zf-C2H2
ZNF524	ZN524_HUMAN	Q96C55	ZNF524	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF524-like factors{2.3.3.15}	ZNF524 [4]{2.3.3.15.1}		C2H2 ZF	zf-C2H2
ZNF525	ZN525_HUMAN	Q8N782	ZNF525:KIAA1979	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF525-like factors{2.3.3.27}	ZNF525 [7]{2.3.3.27.1}		C2H2 ZF	zf-C2H2
ZNF527	ZN527_HUMAN	Q8NB42	ZNF527:KIAA1829	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF527 [12]{2.3.3.0.144}	ZNF527, isoform 1{2.3.3.0.144.1}:ZNF527, isoform 2{2.3.3.0.144.2}	C2H2 ZF	zf-C2H2
ZNF528	ZN528_HUMAN	Q3MIS6	ZNF528:KIAA1827	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF528 [15]{2.3.3.0.189}	ZNF528, isoform 1{2.3.3.0.189.1}:ZNF528, isoform 2{2.3.3.0.189.2}	C2H2 ZF	zf-C2H2
ZNF529	ZN529_HUMAN	Q6P280	ZNF529:KIAA1615	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF529 [12]{2.3.3.0.145}		C2H2 ZF	zf-C2H2
ZNF530	ZN530_HUMAN	Q6P9A1	ZNF530:KIAA1508	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF530 [13]{2.3.3.0.153}		C2H2 ZF	zf-C2H2
ZNF534	ZN534_HUMAN	Q76KX8	ZNF534:KRBO3	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF534 (KRBO3) [17]{2.3.3.0.207}	ZNF534, isoform 1{2.3.3.0.207.1}:ZNF534, isoform 2{2.3.3.0.207.2}	C2H2 ZF	zf-C2H2
ZNF540	ZN540_HUMAN	Q8NDQ6	ZNF540:Nbla10512	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN283-like factors{2.3.3.67}	ZNF540 [17]{2.3.3.67.4}	ZNF540, isoform 1{2.3.3.67.4.1}:ZNF540, isoform 2{2.3.3.67.4.2}:ZNF540, isoform 4{2.3.3.67.4.3}	C2H2 ZF	zf-C2H2
ZNF543	ZN543_HUMAN	Q08ER8	ZNF543	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF460-like factors{2.3.3.54}	ZNF543 [13]{2.3.3.54.4}		C2H2 ZF	zf-C2H2
ZNF547	ZN547_HUMAN	Q8IVP9	ZNF547	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF547 [10]{2.3.3.0.97}	ZNF547, isoform 1{2.3.3.0.97.1}:ZNF547, isoform 2{2.3.3.0.97.2}	C2H2 ZF	zf-C2H2
ZNF548	ZN548_HUMAN	Q8NEK5	ZNF548	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF548-like factors{2.3.3.53}	ZNF548 [11]{2.3.3.53.1}	ZNF548, isoform 1{2.3.3.53.1.1}:ZNF548, isoform 2{2.3.3.53.1.2}	C2H2 ZF	zf-C2H2
ZNF549	ZN549_HUMAN	Q6P9A3	ZNF549	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF549 [15]{2.3.3.0.180}	ZNF549, isoform 1{2.3.3.0.180.1}:ZNF549, isoform 2{2.3.3.0.180.2}	C2H2 ZF	zf-C2H2
ZNF550	ZN550_HUMAN	Q7Z398	ZNF550	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF550 [8]{2.3.3.0.71}	ZNF550, isoform 1{2.3.3.0.71.1}:ZNF550, isoform 2{2.3.3.0.71.2}	C2H2 ZF	zf-C2H2
ZNF552	ZN552_HUMAN	Q9H707	ZNF552	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF417-like factors{2.3.4.1}	ZNF552 [2+7]{2.3.4.1.3}		C2H2 ZF	zf-C2H2
ZNF554	ZN554_HUMAN	Q86TJ5	ZNF554	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF554 [8]{2.3.3.0.63}		C2H2 ZF	zf-C2H2
ZNF555	ZN555_HUMAN	Q8NEP9	ZNF555	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF555 [15]{2.3.3.33.19}	ZNF555, isoform 1{2.3.3.33.19.1}:ZNF555, isoform 2{2.3.3.33.19.2}	C2H2 ZF	zf-C2H2
ZNF557	ZN557_HUMAN	Q8N988	ZNF557	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF558-like factors{2.3.3.43}	ZNF557 [10]{2.3.3.43.2}	ZNF557, isoform 1{2.3.3.43.2.1}:ZNF557, isoform 2{2.3.3.43.2.2}	C2H2 ZF	zf-C2H2
ZNF558	ZN558_HUMAN	Q96NG5	ZNF558	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF558-like factors{2.3.3.43}	ZNF558 [9]{2.3.3.43.1}		C2H2 ZF	zf-C2H2
ZNF561	ZN561_HUMAN	Q8N587	ZNF561	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF562-like factors{2.3.3.45}	ZNF561 [12]{2.3.3.45.3}		C2H2 ZF	zf-C2H2
ZNF562	ZN562_HUMAN	Q6V9R5	ZNF562	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF562-like factors{2.3.3.45}	ZNF562 [8]{2.3.3.45.1}	ZNF562, isoform 1{2.3.3.45.1.1}:ZNF562, isoform 2{2.3.3.45.1.2}	C2H2 ZF	zf-C2H2
ZNF563	ZN563_HUMAN	Q8TA94	ZNF563	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF563 [12]{2.3.3.33.12}	ZNF563, isoform 1{2.3.3.33.12.1}:ZNF563, isoform 2{2.3.3.33.12.2}	C2H2 ZF	zf-C2H2
ZNF564	ZN564_HUMAN	Q8TBZ8	ZNF564	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF564 [15]{2.3.3.33.16}		C2H2 ZF	zf-C2H2
ZNF565	ZN565_HUMAN	Q8N9K5	ZNF565	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF565 [12]{2.3.3.0.146}		C2H2 ZF	zf-C2H2
ZNF566	ZN566_HUMAN	Q969W8	ZNF566	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF620-like factors{2.3.3.35}	ZNF566 [8]{2.3.3.35.3}	ZNF566, isoform 1{2.3.3.35.3.1}:ZNF566, isoform 2{2.3.3.35.3.2}	C2H2 ZF	zf-C2H2
ZNF567	ZN567_HUMAN	Q8N184	ZNF567	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN25-like factors{2.3.3.69}	ZNF567 [15]{2.3.3.69.4}	ZNF567, isoform 1{2.3.3.69.4.1}:ZNF567, isoform 2{2.3.3.69.4.2}:ZNF567, isoform 3{2.3.3.69.4.3}	C2H2 ZF	zf-C2H2
ZNF570	ZN570_HUMAN	Q96NI8	ZNF570	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF642-like factors{2.3.3.31}	ZNF570 [11]{2.3.3.31.3}		C2H2 ZF	zf-C2H2
ZNF571	ZN571_HUMAN	Q7Z3V5	ZNF571:HSPC059	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN283-like factors{2.3.3.67}	ZNF571 [17]{2.3.3.67.5}		C2H2 ZF	zf-C2H2
ZNF573	ZN573_HUMAN	Q86YE8	ZNF573	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN283-like factors{2.3.3.67}	ZNF573 [19]{2.3.3.67.8}	ZNF573, isoform 1{2.3.3.67.8.1}:ZNF573, isoform 2{2.3.3.67.8.2}:ZNF573, isoform 3{2.3.3.67.8.3}:ZNF573, isoform 4{2.3.3.67.8.4}		
ZNF574	ZN574_HUMAN	Q6ZN55	ZNF574	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF526-like factors{2.3.4.22}	ZNF574 (Zfp574) [3+1+4+8+4]{2.3.4.22.2}	ZNF574, isoform 1{2.3.4.22.2.1}:ZNF574, isoform 2{2.3.4.22.2.2}	C2H2 ZF	zf-C2H2
ZNF580	ZN580_HUMAN	Q9UK33	ZNF580	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Other factors with up to three adjacent zinc fingers{2.3.2}	Other three adjacent zinc finger factors{2.3.2.4}	ZNF580 [3]{2.3.2.4.3}		C2H2 ZF	zf-C2H2
ZNF582	ZN582_HUMAN	Q96NG8	ZNF582	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF620-like factors{2.3.3.35}	ZNF582 [10]{2.3.3.35.7}		C2H2 ZF	zf-C2H2
ZNF584	ZN584_HUMAN	Q8IVC4	ZNF584	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF584 [8]{2.3.3.0.67}		C2H2 ZF	zf-C2H2
ZNF585A	Z585A_HUMAN	Q6P3V2	ZNF585A	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN81-like factors{2.3.3.68}	ZNF585A [22]{2.3.3.68.6}	ZNF585A, isoform 1{2.3.3.68.6.1}:ZNF585A, isoform 2{2.3.3.68.6.2}	C2H2 ZF	zf-C2H2
ZNF586	ZN586_HUMAN	Q9NXT0	ZNF586	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF586 [11]{2.3.3.0.115}	ZNF586, isoform 1{2.3.3.0.115.1}:ZNF586, isoform 2{2.3.3.0.115.2}:ZNF586, isoform 3{2.3.3.0.115.3}	C2H2 ZF	zf-C2H2
ZNF587	ZN587_HUMAN	Q96SQ5	ZNF587	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF417-like factors{2.3.4.1}	ZNF587 [1+12]{2.3.4.1.2}	ZNF587, isoform 1{2.3.4.1.2.1}	C2H2 ZF	zf-C2H2
ZNF589	ZN589_HUMAN	Q86UQ0	ZNF589:SZF1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF589 (SZF1){2.3.3.0.12}	ZNF589, isoform 1{2.3.3.0.12.1}:ZNF589, isoform 2 (SZF1-2){2.3.3.0.12.2}:ZNF589, isoform 3 (SZF1-1){2.3.3.0.12.3}		
ZNF594	ZN594_HUMAN	Q96JF6	ZNF594:KIAA1871	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF594 (HZF18) [24]{2.3.3.0.232}		C2H2 ZF	zf-C2H2
ZNF595	ZN595_HUMAN	Q8IYB9	ZNF595	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF595-like factors{2.3.3.77}	ZNF595 [18]{2.3.3.77.1}		C2H2 ZF	zf-C2H2
ZNF596	ZN596_HUMAN	Q8TC21	ZNF596	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF596 (ZNF272) [11]{2.3.3.0.106}	ZNF596, isoform 1{2.3.3.0.106.1}:ZNF596, isoform 2{2.3.3.0.106.2}:ZNF596, isoform 3{2.3.3.0.106.3}	C2H2 ZF	zf-C2H2
ZNF597	ZN597_HUMAN	Q96LX8	ZNF597	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	ZNF597 (Zfp597) [4+3]{2.3.4.0.30}		C2H2 ZF	zf-C2H2
ZNF605	ZN605_HUMAN	Q86T29	ZNF605	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN300-like factors{2.3.3.71}	ZNF605 [17]{2.3.3.71.2}	ZNF605, isoform 1{2.3.3.71.2.1}:ZNF605, isoform 2{2.3.3.71.2.2}	C2H2 ZF	zf-C2H2
ZNF610	ZN610_HUMAN	Q8N9Z0	ZNF610	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF610 [9]{2.3.3.0.89}	ZNF610, isoform 1{2.3.3.0.89.1}:ZNF610, isoform 2{2.3.3.0.89.2}	C2H2 ZF	zf-C2H2
ZNF611	ZN611_HUMAN	Q8N823	ZNF611	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFN813-like factors{2.3.3.72}	ZNF611 [17]{2.3.3.72.3}	ZNF611, isoform 1{2.3.3.72.3.1}:ZNF611, isoform 2{2.3.3.72.3.2}	C2H2 ZF	zf-C2H2
ZNF613	ZN613_HUMAN	Q6PF04	ZNF613	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF350-like factors{2.3.3.30}	ZNF613 [12]{2.3.3.30.4}	ZNF613, isoform 1{2.3.3.30.4.1}:ZNF613, isoform 2{2.3.3.30.4.2}	C2H2 ZF	zf-C2H2
ZNF614	ZN614_HUMAN	Q8N883	ZNF614	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF350-like factors{2.3.3.30}	ZNF614 [12]{2.3.3.30.5}		C2H2 ZF	zf-C2H2
ZNF615	ZN615_HUMAN	Q8N8J6	ZNF615	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF432-like factors{2.3.3.75}	ZNF615 [19]{2.3.3.75.2}	ZNF615, isoform 1{2.3.3.75.2.1}:ZNF615, isoform 2{2.3.3.75.2.2}:ZNF615, isoform 3{2.3.3.75.2.3}	C2H2 ZF	zf-C2H2
ZNF616	ZN616_HUMAN	Q08AN1	ZNF616	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF841-like factors{2.3.3.79}	ZNF616 [21]{2.3.3.79.3}		C2H2 ZF	zf-C2H2
ZNF619	ZN619_HUMAN	Q8N2I2	ZNF619	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF620-like factors{2.3.3.35}	ZNF619 [10]{2.3.3.35.4}	ZNF619, isoform 1{2.3.3.35.4.1}:ZNF619, isoform 2{2.3.3.35.4.2}	C2H2 ZF	zf-C2H2
ZNF620	ZN620_HUMAN	Q6ZNG0	ZNF620	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF620-like factors{2.3.3.35}	ZNF620 [8]{2.3.3.35.1}	ZNF620, isoform 1{2.3.3.35.1.1}:ZNF620, isoform 2{2.3.3.35.1.2}	C2H2 ZF	zf-C2H2
ZNF621	ZN621_HUMAN	Q6ZSS3	ZNF621	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF620-like factors{2.3.3.35}	ZNF621 [7]{2.3.3.35.2}	ZNF621, isoform 1{2.3.3.35.2.1}:ZNF621, isoform 2{2.3.3.35.2.2}	C2H2 ZF	zf-C2H2
ZNF626	ZN626_HUMAN	Q68DY1	ZNF626	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF626 [12]{2.3.3.0.137}	ZNF626, isoform 1{2.3.3.0.137.1}:ZNF626, isoform 2{2.3.3.0.137.2}:ZNF626, isoform 3{2.3.3.0.137.3}	C2H2 ZF	zf-C2H2
ZNF627	ZN627_HUMAN	Q7L945	ZNF627	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF627 [11]{2.3.3.33.7}		C2H2 ZF	zf-C2H2
ZNF639	ZN639_HUMAN	Q9UID6	ZNF639:ZASC1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF639-like factors{2.3.4.13}	ZNF639 (ZASC1, Zfp639) [4+4]{2.3.4.13.1}			
ZNF641	ZN641_HUMAN	Q96N77	ZNF641	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF641 (Zfp641){2.3.3.0.25}	ZNF641, isoform 1{2.3.3.0.25.1}:ZNF641, isoform 2{2.3.3.0.25.2}:ZNF641, isoform 3{2.3.3.0.25.3}:ZNF641, isoform 4{2.3.3.0.25.4}	C2H2 ZF	zf-C2H2
ZNF644	ZN644_HUMAN	Q9H582	ZNF644:KIAA1221:ZEP2	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	ZNF644 (ZEP2) [5+1+1]{2.3.4.0.76}	ZNF644, isoform 1{2.3.4.0.76.1}:ZNF644, isoform 2{2.3.4.0.76.2}:ZNF644, isoform 3{2.3.4.0.76.3}		
ZNF649	ZN649_HUMAN	Q9BS31	ZNF649	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF350-like factors{2.3.3.30}	ZNF649 [10]{2.3.3.30.3}		C2H2 ZF	zf-C2H2
ZNF652	ZN652_HUMAN	Q9Y2D9	ZNF652:KIAA0924	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF652-like factors{2.3.3.29}	ZNF652 (ZFP652) [9]{2.3.3.29.1}		C2H2 ZF	zf-C2H2
ZNF653	ZN653_HUMAN	Q96CK0	ZNF653:ZIP67	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFP91-like factors{2.3.3.3}	ZNF653 (ZIP67) [5]{2.3.3.3.4}		C2H2 ZF	zf-C2H2
ZNF655	ZN655_HUMAN	Q8N720	ZNF655:VIK	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF655 (VIK) [6]{2.3.3.0.31}	ZNF655, isoform 1{2.3.3.0.31.1}:ZNF655, isoform 2{2.3.3.0.31.2}:ZNF655, isoform 3{2.3.3.0.31.3}:ZNF655, isoform 4{2.3.3.0.31.4}	C2H2 ZF	zf-C2H2
ZNF660	ZN660_HUMAN	Q6AZW8	ZNF660	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF660 [10]{2.3.3.0.91}		C2H2 ZF	zf-C2H2
ZNF662	ZN662_HUMAN	Q6ZS27	ZNF662	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF662 [8]{2.3.3.0.62}	ZNF662, isoform 1{2.3.3.0.62.1}:ZNF662, isoform 2{2.3.3.0.62.2}	C2H2 ZF	zf-C2H2
ZNF667	ZN667_HUMAN	Q5HYK9	ZNF667	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF667 [15]{2.3.3.0.179}		C2H2 ZF	zf-C2H2
ZNF669	ZN669_HUMAN	Q96BR6	ZNF669	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF669 [9]{2.3.3.33.4}		C2H2 ZF	zf-C2H2
ZNF671	ZN671_HUMAN	Q8TAW3	ZNF671	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF134-like factors{2.3.4.24}	ZNF671 [1+9]{2.3.4.24.2}		C2H2 ZF	zf-C2H2
ZNF674	ZN674_HUMAN	Q2M3X9	ZNF674	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	ZNF674 [4+7]{2.3.4.0.57}	ZNF674, isoform 1{2.3.4.0.57.1}:ZNF674, isoform 2{2.3.4.0.57.2}	C2H2 ZF	zf-C2H2
ZNF675	ZN675_HUMAN	Q8TD23	ZNF675:TIZ	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF100-like factors{2.3.3.59}	ZNF675 (TIZ) [15]{2.3.3.59.6}		C2H2 ZF	zf-C2H2
ZNF677	ZN677_HUMAN	Q86XU0	ZNF677	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF677 [10]{2.3.3.0.99}		C2H2 ZF	zf-C2H2
ZNF680	ZN680_HUMAN	Q8NEM1	ZNF680	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF680 [12]{2.3.3.0.140}	ZNF680, isoform 1{2.3.3.0.140.1}:ZNF680, isoform 2 [0]{2.3.3.0.140.2}	C2H2 ZF	zf-C2H2
ZNF681	ZN681_HUMAN	Q96N22	ZNF681	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF681 [16]{2.3.3.0.200}	ZNF681, isoform 1{2.3.3.0.200.1}:ZNF681, isoform 2{2.3.3.0.200.2}	C2H2 ZF	zf-C2H2
ZNF682	ZN682_HUMAN	O95780	ZNF682	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF682 [11]{2.3.3.0.109}	ZNF682, isoform 1{2.3.3.0.109.1}:ZNF682, isoform 2{2.3.3.0.109.2}:ZNF682, isoform 3{2.3.3.0.109.3}	C2H2 ZF	zf-C2H2
ZNF684	ZN684_HUMAN	Q5T5D7	ZNF684	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	ZNF684 [8]{2.3.3.0.68}		C2H2 ZF	zf-C2H2
ZNF69	ZNF69_HUMAN	Q9UC07	ZNF69	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF763-like factors{2.3.3.33}	ZNF69 [14]{2.3.3.33.14}	ZNF69, isoform 1{2.3.3.33.14.1}:ZNF69, isoform 2{2.3.3.33.14.2}	C2H2 ZF	zf-C2H2
ZNF692	ZN692_HUMAN	Q9BU19	ZNF692	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZFP91-like factors{2.3.3.3}	ZNF692 [5]{2.3.3.3.2}	ZNF692, isoform 1{2.3.3.3.2.1}:ZNF692, isoform 2{2.3.3.3.2.2}:ZNF692, isoform 3{2.3.3.3.2.3}:ZNF692, isoform 4{2.3.3.3.2.4}:ZNF692, isoform 5{2.3.3.3.2.5}	C2H2 ZF	zf-C2H2
